Rank,Mark,Competitor,Date of birth,Nationality,Position in the competition,dummy,Place of the competition,Date,Result score,athlete_href
24,1:44.00,Joseph Mwengi MUTUA,10 DEC 1978,KEN,1,,Rieti (ITA),02 SEP 2001,1204,/athletes/athlete=14209288
25,1:44.01,André BUCHER,19 OCT 1976,SUI,1,,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1204,/athletes/athlete=14225866
25,1:44.01,Mbulaeni MULAUDZI,08 SEP 1980,RSA,7f1,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1204,/athletes/athlete=14220770
25,1:44.01,Wilfred BUNGEI,24 JUL 1980,KEN,2,,"Olympiastadion, Berlin (GER)",31 AUG 2001,1204,/athletes/athlete=14207448
28,1:44.02,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,2,,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1204,/athletes/athlete=14221887
28,1:44.02,William CHIRCHIR,06 FEB 1979,KEN,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1204,/athletes/athlete=14207675
30,1:44.06,William YIAMPOY,17 MAY 1974,KEN,4,,St-Denis (FRA),06 JUL 2001,1202,/athletes/athlete=14210002
30,1:44.06,William YIAMPOY,17 MAY 1974,KEN,3,,"Olympiastadion, Berlin (GER)",31 AUG 2001,1202,/athletes/athlete=14210002
32,1:44.12,Arthémon HATUNGIMANA,21 JAN 1974,BDI,4,,"Olympiastadion, Berlin (GER)",31 AUG 2001,1200,/athletes/athlete=14177807
33,1:44.20,Joseph Mwengi MUTUA,10 DEC 1978,KEN,1,,Gdansk (POL),14 JUL 2001,1198,/athletes/athlete=14209288
34,1:44.21,Kennedy KIMWETICH,1973,KEN,7,,"Stade Louis II, Monaco (MON)",20 JUL 2001,1198,/athletes/athlete=14208154
34,1:44.21,Arthémon HATUNGIMANA,21 JAN 1974,BDI,2,,Rieti (ITA),02 SEP 2001,1198,/athletes/athlete=14177807
36,1:44.24,William YIAMPOY,17 MAY 1974,KEN,1,,Nairobi (KEN),22 JUN 2001,1197,/athletes/athlete=14210002
37,1:44.25,Wilfred BUNGEI,24 JUL 1980,KEN,5,,St-Denis (FRA),06 JUL 2001,1196,/athletes/athlete=14207448
38,1:44.30,Joseph Mwengi MUTUA,10 DEC 1978,KEN,5,,"Olympiastadion, Berlin (GER)",31 AUG 2001,1195,/athletes/athlete=14209288
39,1:44.32,Nils SCHUMANN,20 MAY 1978,GER,8f1,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1194,/athletes/athlete=14194195
40,1:44.37,Nils SCHUMANN,20 MAY 1978,GER,3,,Rieti (ITA),02 SEP 2001,1193,/athletes/athlete=14194195
41,1:44.38,William YIAMPOY,17 MAY 1974,KEN,5,,Bruxelles (BEL),24 AUG 2001,1192,/athletes/athlete=14210002
42,1:44.40,Kennedy KIMWETICH,1973,KEN,4,,Rieti (ITA),02 SEP 2001,1192,/athletes/athlete=14208154
43,1:44.46,Nicholas WACHIRA,19 NOV 1982,KEN,5,,Rieti (ITA),02 SEP 2001,1190,/athletes/athlete=14209935
44,1:44.47,Otukile LEKOTE,19 OCT 1978,BOT,1,,Montréal (CAN),10 JUL 2001,1190,/athletes/athlete=14176338
44,1:44.47,André BUCHER,19 OCT 1976,SUI,1sf2,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1190,/athletes/athlete=14225866
46,1:44.49,Nicholas WACHIRA,19 NOV 1982,KEN,1,,Rovereto (ITA),29 AUG 2001,1189,/athletes/athlete=14209935
47,1:44.52,Joeri JANSEN,28 MAY 1979,BEL,6,,Bruxelles (BEL),24 AUG 2001,1188,/athletes/athlete=14177492
48,1:44.54,Trinity GRAY,19 APR 1978,USA,2,,Rovereto (ITA),29 AUG 2001,1188,/athletes/athlete=14239214
49,1:44.55,Andrea LONGO,26 JUN 1975,ITA,1,,Milano (ITA),06 JUN 2001,1187,/athletes/athlete=14200678
49,1:44.55,Djabir SAID-GUERNI,29 MAR 1977,ALG,2,,Milano (ITA),06 JUN 2001,1187,/athletes/athlete=14180636
49,1:44.55,Wilfred BUNGEI,24 JUL 1980,KEN,2,,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1187,/athletes/athlete=14207448
52,1:44.57,Joseph Mwengi MUTUA,10 DEC 1978,KEN,4,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1187,/athletes/athlete=14209288
53,1:44.59,Glody DUBE,02 JUL 1978,BOT,6,,St-Denis (FRA),06 JUL 2001,1186,/athletes/athlete=14176357
54,1:44.61,William YIAMPOY,17 MAY 1974,KEN,2sf2,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1185,/athletes/athlete=14210002
55,1:44.62,Glody DUBE,02 JUL 1978,BOT,3,,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1185,/athletes/athlete=14176357
56,1:44.63,Paweł CZAPIEWSKI,30 MAR 1978,POL,3,,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1185,/athletes/athlete=14216511
56,1:44.63,Bram SOM,20 FEB 1980,NED,7,,Bruxelles (BEL),24 AUG 2001,1185,/athletes/athlete=14214387
56,1:44.63,Nils SCHUMANN,20 MAY 1978,GER,1,,Leverkusen (GER),26 AUG 2001,1185,/athletes/athlete=14194195
59,1:44.67,Arthémon HATUNGIMANA,21 JAN 1974,BDI,1f2,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1184,/athletes/athlete=14177807
60,1:44.68,Nils SCHUMANN,20 MAY 1978,GER,6,,"Olympiastadion, Berlin (GER)",31 AUG 2001,1183,/athletes/athlete=14194195
61,1:44.69,Glody DUBE,02 JUL 1978,BOT,1,,"Blankers-Koen Stadion, Hengelo (NED)",04 JUN 2001,1183,/athletes/athlete=14176357
62,1:44.73,Wilfred BUNGEI,24 JUL 1980,KEN,1h2,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1182,/athletes/athlete=14207448
63,1:44.76,Otukile LEKOTE,19 OCT 1978,BOT,1,,"Durham, NC (USA)",07 APR 2001,1181,/athletes/athlete=14176338
64,1:44.77,Hezekiel SEPENG,30 JUN 1974,RSA,9f1,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1180,/athletes/athlete=14221123
65,1:44.79,Wilfred BUNGEI,24 JUL 1980,KEN,2,,Nairobi (KEN),22 JUN 2001,1180,/athletes/athlete=14207448
65,1:44.79,Joseph Mwengi MUTUA,10 DEC 1978,KEN,1,,Patra (GRE),22 JUL 2001,1180,/athletes/athlete=14209288
67,1:44.80,Glody DUBE,02 JUL 1978,BOT,3,,Milano (ITA),06 JUN 2001,1180,/athletes/athlete=14176357
67,1:44.80,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,Stockholm (SWE),17 JUL 2001,1180,/athletes/athlete=14221887
67,1:44.80,Benjamin KIPKURUI,28 DEC 1980,KEN,2,,Leverkusen (GER),26 AUG 2001,1180,/athletes/athlete=14208297
70,1:44.81,Mbulaeni MULAUDZI,08 SEP 1980,RSA,3sf2,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1179,/athletes/athlete=14220770
71,1:44.83,Wilfred BUNGEI,24 JUL 1980,KEN,5,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1179,/athletes/athlete=14207448
72,1:44.85,Noah NGENY,02 NOV 1978,KEN,4,,Milano (ITA),06 JUN 2001,1178,/athletes/athlete=14209412
73,1:44.87,Adem HACINI,13 DEC 1975,ALG,6,,Rieti (ITA),02 SEP 2001,1177,/athletes/athlete=14180751
74,1:44.89,Paweł CZAPIEWSKI,30 MAR 1978,POL,4sf2,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1177,/athletes/athlete=14216511
75,1:44.91,Wilfred BUNGEI,24 JUL 1980,KEN,1,,Oslo (NOR),13 JUL 2001,1176,/athletes/athlete=14207448
76,1:44.93,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,1,,"Eugene, OR (USA)",27 MAY 2001,1176,/athletes/athlete=14177791
77,1:44.95,Hezekiel SEPENG,30 JUN 1974,RSA,1,,Johannesburg (RSA),14 MAR 2001,1175,/athletes/athlete=14221123
78,1:44.96,David LELEI,10 MAY 1971,KEN,8,,"Stade Louis II, Monaco (MON)",20 JUL 2001,1175,/athletes/athlete=14208865
78,1:44.96,William YIAMPOY,17 MAY 1974,KEN,4,,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1175,/athletes/athlete=14210002
80,1:44.97,Hezekiel SEPENG,30 JUN 1974,RSA,4,,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1174,/athletes/athlete=14221123
80,1:44.97,Arthémon HATUNGIMANA,21 JAN 1974,BDI,2,,Patra (GRE),22 JUL 2001,1174,/athletes/athlete=14177807
82,1:44.98,Nicolas AÏSSAT,24 JUL 1980,FRA,3,,Rovereto (ITA),29 AUG 2001,1174,/athletes/athlete=14182806
82,1:44.98,Cornelius CHIRCHIR,05 JUN 1983,KEN,4,,Rovereto (ITA),29 AUG 2001,1174,/athletes/athlete=14207662
84,1:45.00,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,2,,Oslo (NOR),13 JUL 2001,1173,/athletes/athlete=14177791
84,1:45.00,Nils SCHUMANN,20 MAY 1978,GER,5,,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1173,/athletes/athlete=14194195
86,1:45.01,Norberto TÉLLEZ,23 DEC 1972,CUB,6,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1173,/athletes/athlete=14169292
86,1:45.01,Mbulaeni MULAUDZI,08 SEP 1980,RSA,6,,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1173,/athletes/athlete=14220770
88,1:45.02,Paul KORIR,15 JUL 1977,KEN,9,,"Stade Louis II, Monaco (MON)",20 JUL 2001,1173,/athletes/athlete=14208716
89,1:45.04,Mbulaeni MULAUDZI,08 SEP 1980,RSA,3,,Oslo (NOR),13 JUL 2001,1172,/athletes/athlete=14220770
90,1:45.05,Joseph Mwengi MUTUA,10 DEC 1978,KEN,3,,Leverkusen (GER),26 AUG 2001,1172,/athletes/athlete=14209288
91,1:45.06,Paweł CZAPIEWSKI,30 MAR 1978,POL,4,,Leverkusen (GER),26 AUG 2001,1172,/athletes/athlete=14216511
92,1:45.07,Arthémon HATUNGIMANA,21 JAN 1974,BDI,1,,Formia (ITA),14 JUL 2001,1171,/athletes/athlete=14177807
93,1:45.09,Glody DUBE,02 JUL 1978,BOT,1,,Rio de Janeiro (BRA),06 MAY 2001,1171,/athletes/athlete=14176357
93,1:45.09,William CHIRCHIR,06 FEB 1979,KEN,2,,"Eugene, OR (USA)",27 MAY 2001,1171,/athletes/athlete=14207675
95,1:45.11,Kennedy KIMWETICH,1973,KEN,2,,Formia (ITA),14 JUL 2001,1170,/athletes/athlete=14208154
96,1:45.13,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,1h5,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1169,/athletes/athlete=14177791
97,1:45.14,Wolfram MÜLLER,08 JUL 1981,GER,5,,Leverkusen (GER),26 AUG 2001,1169,/athletes/athlete=14193495
98,1:45.15,Khadevis ROBINSON,19 JUL 1976,USA,3,,"Eugene, OR (USA)",27 MAY 2001,1169,/athletes/athlete=14249779
99,1:45.18,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,Helsinki (FIN),14 JUN 2001,1168,/athletes/athlete=14220770
99,1:45.18,William YIAMPOY,17 MAY 1974,KEN,5,,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1168,/athletes/athlete=14210002
,,,,,,,,,,
101,1:45.21,Arthémon HATUNGIMANA,21 JAN 1974,BDI,5sf2,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1167,/athletes/athlete=14177807
102,1:45.22,Paul KORIR,15 JUL 1977,KEN,1,,Lappeenranta (FIN),15 JUL 2001,1167,/athletes/athlete=14208716
103,1:45.24,Michael ROTICH,14 JUL 1978,KEN,1,,Bydgoszcz (POL),15 JUN 2001,1166,/athletes/athlete=14209673
104,1:45.25,Henry ROTICH,05 DEC 1981,KEN,6,,Leverkusen (GER),26 AUG 2001,1166,/athletes/athlete=14209657
105,1:45.27,Fred ONYANCHA,25 DEC 1969,KEN,5,,Milano (ITA),06 JUN 2001,1165,/athletes/athlete=14209565
105,1:45.27,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,Poznan (POL),08 JUN 2001,1165,/athletes/athlete=14221887
105,1:45.27,Khalid TIGHAZOUINE,18 JUN 1977,MAR,1,,Beijing (CHN),01 SEP 2001,1165,/athletes/athlete=14212499
108,1:45.28,Nils SCHUMANN,20 MAY 1978,GER,2,,"Blankers-Koen Stadion, Hengelo (NED)",04 JUN 2001,1165,/athletes/athlete=14194195
109,1:45.29,Anthony KABARA,09 MAR 1978,KEN,2,,"Durham, NC (USA)",07 APR 2001,1165,/athletes/athlete=14207766
109,1:45.29,Khalid TIGHAZOUINE,18 JUN 1977,MAR,2f2,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1165,/athletes/athlete=14212499
111,1:45.30,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,Doha (QAT),18 MAY 2001,1164,/athletes/athlete=14220770
111,1:45.30,William CHIRCHIR,06 FEB 1979,KEN,6,,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1164,/athletes/athlete=14207675
113,1:45.31,Henry ROTICH,05 DEC 1981,KEN,1,,Ludvika (SWE),27 JUN 2001,1164,/athletes/athlete=14209657
114,1:45.32,Glody DUBE,02 JUL 1978,BOT,1,,Nürnberg (GER),17 JUN 2001,1164,/athletes/athlete=14176357
115,1:45.33,Paweł CZAPIEWSKI,30 MAR 1978,POL,7,,"Olympiastadion, Berlin (GER)",31 AUG 2001,1163,/athletes/athlete=14216511
116,1:45.34,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,2,,Nürnberg (GER),17 JUN 2001,1163,/athletes/athlete=14177791
117,1:45.35,Trinity GRAY,19 APR 1978,USA,4,,"Eugene, OR (USA)",27 MAY 2001,1163,/athletes/athlete=14239214
118,1:45.36,Otukile LEKOTE,19 OCT 1978,BOT,1,,"Columbia, SC (USA)",13 MAY 2001,1162,/athletes/athlete=14176338
118,1:45.36,Nicholas WACHIRA,19 NOV 1982,KEN,3,,Nairobi (KEN),22 JUN 2001,1162,/athletes/athlete=14209935
118,1:45.36,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,2,,Stockholm (SWE),17 JUL 2001,1162,/athletes/athlete=14177791
121,1:45.38,Paweł CZAPIEWSKI,30 MAR 1978,POL,2,,Poznan (POL),08 JUN 2001,1162,/athletes/athlete=14216511
121,1:45.38,Trinity GRAY,19 APR 1978,USA,3f2,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1162,/athletes/athlete=14239214
123,1:45.39,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,Rehlingen (GER),04 JUN 2001,1162,/athletes/athlete=14220770
123,1:45.39,Bernard KISILU,06 DEC 1974,KEN,2,,Lappeenranta (FIN),15 JUL 2001,1162,/athletes/athlete=14208579
123,1:45.39,Glody DUBE,02 JUL 1978,BOT,2h5,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1162,/athletes/athlete=14176357
126,1:45.40,William YIAMPOY,17 MAY 1974,KEN,1,,Stellenbosch (RSA),30 MAR 2001,1161,/athletes/athlete=14210002
127,1:45.43,Hezekiel SEPENG,30 JUN 1974,RSA,3,,Poznan (POL),08 JUN 2001,1160,/athletes/athlete=14221123
127,1:45.43,Henry ROTICH,05 DEC 1981,KEN,3,,Lappeenranta (FIN),15 JUL 2001,1160,/athletes/athlete=14209657
129,1:45.44,Hezekiel SEPENG,30 JUN 1974,RSA,3,,"Blankers-Koen Stadion, Hengelo (NED)",04 JUN 2001,1160,/athletes/athlete=14221123
129,1:45.44,Glody DUBE,02 JUL 1978,BOT,2,,Helsinki (FIN),14 JUN 2001,1160,/athletes/athlete=14176357
129,1:45.44,David KRUMMENACKER,24 MAY 1975,USA,4f2,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1160,/athletes/athlete=14243399
132,1:45.46,Mbulaeni MULAUDZI,08 SEP 1980,RSA,3,,Stockholm (SWE),17 JUL 2001,1159,/athletes/athlete=14220770
133,1:45.47,Bram SOM,20 FEB 1980,NED,1,,Papendal (NED),04 JUL 2001,1159,/athletes/athlete=14214387
134,1:45.48,Achraf TADILI,08 JUL 1980,CAN,1,,Edmonton (CAN),24 JUN 2001,1159,/athletes/athlete=14173417
135,1:45.49,André BUCHER,19 OCT 1976,SUI,1h3,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1159,/athletes/athlete=14225866
135,1:45.49,Derrick PETERSON,28 NOV 1977,USA,2,,Beijing (CHN),01 SEP 2001,1159,/athletes/athlete=14248336
137,1:45.52,Joseph Mwengi MUTUA,10 DEC 1978,KEN,4,,Nairobi (KEN),22 JUN 2001,1158,/athletes/athlete=14209288
138,1:45.54,Kennedy KIMWETICH,1973,KEN,2,,Rehlingen (GER),04 JUN 2001,1157,/athletes/athlete=14208154
139,1:45.56,Joeri JANSEN,28 MAY 1979,BEL,2,,Papendal (NED),04 JUL 2001,1156,/athletes/athlete=14177492
139,1:45.56,Adem HACINI,13 DEC 1975,ALG,3h5,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1156,/athletes/athlete=14180751
141,1:45.57,David KRUMMENACKER,24 MAY 1975,USA,1,,Heusden-Zolder (BEL),14 JUL 2001,1156,/athletes/athlete=14243399
141,1:45.57,Paweł CZAPIEWSKI,30 MAR 1978,POL,2h2,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1156,/athletes/athlete=14216511
143,1:45.58,Khalid TIGHAZOUINE,18 JUN 1977,MAR,7,,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1156,/athletes/athlete=14212499
144,1:45.60,Bram SOM,20 FEB 1980,NED,3h2,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1155,/athletes/athlete=14214387
145,1:45.63,Khalid TIGHAZOUINE,18 JUN 1977,MAR,2h3,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1154,/athletes/athlete=14212499
145,1:45.63,Henry ROTICH,05 DEC 1981,KEN,5,,Rovereto (ITA),29 AUG 2001,1154,/athletes/athlete=14209657
145,1:45.63,Otukile LEKOTE,19 OCT 1978,BOT,3,,Beijing (CHN),01 SEP 2001,1154,/athletes/athlete=14176338
145,1:45.63,Nicolas AÏSSAT,24 JUL 1980,FRA,7,,Rieti (ITA),02 SEP 2001,1154,/athletes/athlete=14182806
149,1:45.64,Arnoud OKKEN,20 APR 1982,NED,4,,Beijing (CHN),01 SEP 2001,1154,/athletes/athlete=14214233
150,1:45.65,Arthémon HATUNGIMANA,21 JAN 1974,BDI,1h1,,St-Etienne (FRA),30 JUN 2001,1154,/athletes/athlete=14177807
151,1:45.66,Glody DUBE,02 JUL 1978,BOT,4,,Stockholm (SWE),17 JUL 2001,1153,/athletes/athlete=14176357
151,1:45.66,Wilfred BUNGEI,24 JUL 1980,KEN,1sf1,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1153,/athletes/athlete=14207448
153,1:45.68,Joseph Mwengi MUTUA,10 DEC 1978,KEN,5,,Stockholm (SWE),17 JUL 2001,1153,/athletes/athlete=14209288
154,1:45.69,Nils SCHUMANN,20 MAY 1978,GER,1h1,,"Commonwealth Stadium, Edmonton (CAN)",04 AUG 2001,1152,/athletes/athlete=14194195
154,1:45.69,Khalid TIGHAZOUINE,18 JUN 1977,MAR,2sf1,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1152,/athletes/athlete=14212499
156,1:45.70,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,Durban (RSA),04 MAR 2001,1152,/athletes/athlete=14220770
157,1:45.71,Kennedy KIMWETICH,1973,KEN,5f2,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1152,/athletes/athlete=14208154
157,1:45.71,Arthémon HATUNGIMANA,21 JAN 1974,BDI,1,,Thessaloniki (GRE),22 AUG 2001,1152,/athletes/athlete=14177807
157,1:45.71,Paul MCMULLEN,19 FEB 1972,USA,8,,"Olympiastadion, Berlin (GER)",31 AUG 2001,1152,/athletes/athlete=14245773
160,1:45.72,David LELEI,10 MAY 1971,KEN,7,,"Stadio Olimpico, Roma (ITA)",29 JUN 2001,1152,/athletes/athlete=14208865
161,1:45.74,David KIPTOO SINGOEI,25 JUN 1965,KEN,5,,"Eugene, OR (USA)",27 MAY 2001,1151,/athletes/athlete=14208505
162,1:45.75,Wilfred BUNGEI,24 JUL 1980,KEN,2,,Rio de Janeiro (BRA),06 MAY 2001,1151,/athletes/athlete=14207448
162,1:45.75,Hezekiel SEPENG,30 JUN 1974,RSA,2,,Doha (QAT),18 MAY 2001,1151,/athletes/athlete=14221123
162,1:45.75,Japheth KIMUTAI,20 DEC 1978,KEN,7,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,1151,/athletes/athlete=14208141
162,1:45.75,Grant CREMER,09 JUN 1978,AUS,6,,Stockholm (SWE),17 JUL 2001,1151,/athletes/athlete=14179880
166,1:45.76,Bram SOM,20 FEB 1980,NED,6f2,,"Letzigrund, Zürich (SUI)",17 AUG 2001,1150,/athletes/athlete=14214387
167,1:45.79,Trinity GRAY,19 APR 1978,USA,2,,Heusden-Zolder (BEL),14 JUL 2001,1149,/athletes/athlete=14239214
168,1:45.81,Norberto TÉLLEZ,23 DEC 1972,CUB,3,,Nürnberg (GER),17 JUN 2001,1149,/athletes/athlete=14169292
168,1:45.81,Francis MARWA,1976,KEN,1,,Madrid (ESP),07 JUL 2001,1149,/athletes/athlete=14209032
168,1:45.81,Joseph Mwengi MUTUA,10 DEC 1978,KEN,2,,Thessaloniki (GRE),22 AUG 2001,1149,/athletes/athlete=14209288
171,1:45.82,Wilfred BUNGEI,24 JUL 1980,KEN,2,,Stellenbosch (RSA),30 MAR 2001,1149,/athletes/athlete=14207448
171,1:45.82,Paweł CZAPIEWSKI,30 MAR 1978,POL,2,,Bydgoszcz (POL),15 JUN 2001,1149,/athletes/athlete=14216511
171,1:45.82,Hezekiel SEPENG,30 JUN 1974,RSA,7,,St-Denis (FRA),06 JUL 2001,1149,/athletes/athlete=14221123
171,1:45.82,David KRUMMENACKER,24 MAY 1975,USA,2,,Madrid (ESP),07 JUL 2001,1149,/athletes/athlete=14243399
171,1:45.82,Boris KAVESHNIKOV,30 SEP 1974,RUS,1,,Tula (RUS),15 JUL 2001,1149,/athletes/athlete=14222573
176,1:45.84,Nicholas WACHIRA,19 NOV 1982,KEN,3,,Formia (ITA),14 JUL 2001,1148,/athletes/athlete=14209935
177,1:45.86,Michael ROTICH,14 JUL 1978,KEN,3,,Papendal (NED),04 JUL 2001,1147,/athletes/athlete=14209673
177,1:45.86,Nils SCHUMANN,20 MAY 1978,GER,3sf1,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1147,/athletes/athlete=14194195
179,1:45.87,Henry ROTICH,05 DEC 1981,KEN,1,,Lapinlahti (FIN),22 JUL 2001,1147,/athletes/athlete=14209657
180,1:45.89,William YIAMPOY,17 MAY 1974,KEN,3,,Rio de Janeiro (BRA),06 MAY 2001,1146,/athletes/athlete=14210002
180,1:45.89,David KRUMMENACKER,24 MAY 1975,USA,7,,Stockholm (SWE),17 JUL 2001,1146,/athletes/athlete=14243399
182,1:45.90,Arthémon HATUNGIMANA,21 JAN 1974,BDI,3,,Rehlingen (GER),04 JUN 2001,1146,/athletes/athlete=14177807
182,1:45.90,Francis MARWA,1976,KEN,5,,Nairobi (KEN),22 JUN 2001,1146,/athletes/athlete=14209032
184,1:45.91,Henry ROTICH,05 DEC 1981,KEN,3,,Helsinki (FIN),14 JUN 2001,1146,/athletes/athlete=14209657
